Date,Open,Close,High,Low,Volume
2018/3/2,4014.951,4016.461,4044.4183,4006.9435,9616500000
2018/3/5,4021.6575,4018.097,4042.8346,3995.8715,8795254800
2018/3/6,4034.9854,4066.5647,4067.5525,3998.9317,13876244400
2018/3/7,4063.5028,4036.6536,4089.6964,4027.9363,10695242600
2018/3/8,4038.9527,4077.6001,4078.2263,4029.7144,9115581000
2018/3/9,4088.0704,4108.8652,4110.6738,4076.4537,11370180800
2018/3/12,4130.7082,4127.6662,4139.5259,4112.7658,14090673900
2018/3/13,4124.3312,4091.2533,4130.2829,4087.5629,11176643000
2018/3/14,4076.0626,4073.3447,4089.0942,4066.4896,9901340900
2018/3/15,4058.7058,4096.1627,4098.989,4058.7058,8816115600
2018/3/16,4096.8857,4056.4226,4110.0451,4055.822,8489618800
2018/3/19,4054.6167,4074.2479,4074.518,4033.5216,8150288200
2018/3/20,4045.7428,4077.7041,4080.1925,4040.308,8060528000
2018/3/21,4097.0243,4061.0502,4110.1158,4046.2408,9760948800
2018/3/22,4062.0668,4020.349,4072.3771,4003.721,8909525900
2018/3/23,3896.7359,3904.9355,3928.5114,3834.9373,18008044900
2018/3/26,3862.6948,3879.893,3883.901,3829.9155,11513912800
2018/3/27,3927.492,3913.2689,3936.778,3881.8726,11370071100
2018/3/28,3865.0454,3842.7155,3907.2811,3835.8825,10149490800
2018/3/29,3854.5914,3894.0498,3913.9578,3794.2617,11662906600
2018/3/30,3893.7468,3898.4977,3915.3473,3879.2128,9751227000
2018/4/2,3897.0052,3886.9189,3937.0183,3882.8856,11124266600
2018/4/3,3850.1546,3862.4796,3878.1504,3839.9333,9513736900
2018/4/4,3873.6267,3854.8625,3898.6126,3852.4958,8873060900
2018/4/9,3851.9548,3852.9292,3870.6736,3827.4133,8410546200
2018/4/10,3860.7225,3927.1729,3927.4247,3851.7957,10617372200
2018/4/11,3934.1698,3938.3434,3958.7071,3924.9603,11193302100
2018/4/12,3935.673,3898.6354,3937.7837,3896.1789,8269949000
2018/4/13,3920.7375,3871.1443,3929.952,3866.186,7154420300
2018/4/16,3862.4738,3808.863,3869.156,3789.6121,9921777000
2018/4/17,3812.8746,3748.6412,3822.6264,3745.4442,9061079000
2018/4/18,3785.3059,3766.282,3789.6591,3708.1068,10667670600
2018/4/19,3774.784,3811.843,3824.0321,3767.7974,9905406000
2018/4/20,3801.2075,3760.8543,3815.444,3750.1033,9928292500
2018/4/23,3754.6896,3766.3257,3787.3951,3735.1842,9035629100
2018/4/24,3769.8787,3843.4886,3854.4292,3769.8787,11421952500
2018/4/25,3824.5929,3828.7015,3838.6921,3817.032,7817261200
2018/4/26,3823.3921,3755.4941,3828.7129,3744.8852,8715064100
2018/4/27,3771.0369,3756.8765,3776.9751,3714.6444,8953172600
